Node 1,Node 2,Interconnector Name,Year,Type,Rated Voltage (kV),Length(km),Metallic Return,Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA),Node 1 MVAr Gen,Node 1 MVAr Abs,Node 2 MVAr Gen,Node 2 MVAr Abs
SPIT2K,BLHI4R,Caithness Moray Shetland,,VSC,±320,167,No,800,800,800,800,263,263,394,394
RICH41,SIZE41,Offshore HVDC - SCD1 (Sealink),2032,VSC,±525,138,No,2000,2000,2000,2000,657,657,657,657
BANN4R,LOSD4R,PSDC HVDC Link,2030,VSC,±525,145,Yes,2000,2000,2000,2000,657,657,657,657
LEWI4R,FNLN4R,Western Isles HVDC Link,2030,VSC,±525,170,No,1800,1800,1800,1800,592,592,592,592
FLIB41,HUCS4-,Western HVDC Link,,LCC,±600,422,No,2250,2250,2250,2250,1712,705,688,1946
DRAX41,PEHE4-,Eastern Green Link 2,2029,VSC,±525,505,No,2000,2000,2000,2000,657,657,657,657
BRNX4A,HAWP41,Eastern HVDC Link 1,2029,VSC,±525,193,No,2000,2000,2000,2000,660,660,657,657
WALP41,WFIE4A,Eastern HVDC Link 4,2035,VSC,±525,525,No,2000,2000,2000,2000,657,657,657,657
AUCH4,KILS4,HND,2033,VSC,±525,69,DC+Return,2000,2000,2000,2000,624,624,624,624
LOSD4M,WALP41,Eastern HVDC Link 3,2035,VSC,±525,575,No,2000,2000,2000,2000,657,657,657,657
WALP4-,LOSD4M,Eastern Green Link 3,2033,VSC,±525,650,Yes,2000,2000,2000,2000,657,657,657,657
