Site Name,Site Code,latitude,longitude,Verified?
ABHA - Abham Substation,ABHA,50.4716733,-3.7309283,Yes
ABNE - ABERNETHY Substation,ABNE,56.34005,-3.296951,Yes
ABTH - Aberthaw Substation,ABTH,51.3883366,-3.4032144,Yes
AIKE - AIKENGALL Substation,AIKE,55.90854,-2.486718,Yes
ALDW - Aldwarke Substation,ALDW,53.4455045,-1.320594,Yes
ALNE - ALNESS GSP Substation,ALNE,57.708211,-4.275356,Yes
ALPHA STEEL,ALST,51.547018,-2.978565,Yes
ALVE - Alverdiscott Substation,ALVE,51.0059049,-4.1364787,Yes
ALYT - ALYTH Substation,ALYT,56.609016,-3.165107,Yes
AMEM - Amersham Substation,AMEM,51.6651594,-0.65634,Yes
ANSU - AN SUIDHE Substation,ANSU,56.197996,-5.14562,Yes
ARBR - ARBROATH Substation,ARBR,56.564183,-2.620188,Yes
ARCR - ARECLEOCH REPOWERING Substation,ARCR,56.514357,-3.042757,Yes
ARDK - ARDKINGLAS WIND Substation,ARDK,56.277184,-4.921811,Yes
AREC - ARECLEOCH Substation,AREC,55.084333,-4.850995,Yes
ARMO - ARDMORE Substation,ARMO,57.554442,-6.644721,Yes
AUCH - AUCHENCROSH Substation,AUCH,55.070687,-4.980101,Yes
AUCW - AUCHENWYND Substation,AUCW,55.34216,-4.684377,Yes
AXMI - Axminster Substation,AXMI,50.7864998,-2.9246377,Yes
AYR- - AYR Substation,AYR-,55.457495,-4.588131,Yes
BACT - Bacton Substation,BACT,52.660393,0.793521,Yes
BAGA - BATHGATE Substation,BAGA,55.900172,-3.673399,Yes
BAGB - Baglan Bay Substation,BAGB,51.6169976,-3.8324675,Yes
BAIN - BAINSFORD Substation,BAIN,56.014275,-3.768765,Yes
BALA - BALALLAN Substation,BALA,52.920078,-3.586147,Yes
BARK - Barking Substation,BARK,51.5226033,0.115365,Yes
BARW - Barking West Substation,BARW,51.520169,0.115479,Yes
BASW - HORNSEA OFFSHORE Substation,BASW,53.658389,-0.262696,Yes
BEAU - BEAULY Substation,BEAU,57.469928,-4.490033,Yes
BEDD - Beddington Substation,BEDD,51.3725629,-0.1264688,Yes
BEDT - Beddington Tee Substation,BEDT,51.37295,-0.12795,Yes
BEIN - BEINNEUN WIND FARM Substation,BEIN,57.153938,-4.870129,Yes
BENR - Bengeworth Road Substation,BENR,51.465772,-0.098387,Yes
BERB - BERRY BURN Substation,BERB,57.504065,-3.600101,Yes
BERW - BERWICK Substation,BERW,55.777719,-2.077726,Yes
BESW - Berkswell Substation,BESW,52.3858536,-1.615489,Yes
BHLA - BHLARAIDH WIND FARM Substation,BHLA,57.24461,-4.703979,Yes
BICF - Bickerfen Substation,BICF,52.9308108,-0.2211776,Yes
BIRK - Birkenhead Substation,BIRK,53.3657481,-3.0627474,Yes
BISW - Bishops Wood Substation,BISW,52.3121115,-2.2416907,Yes
BLAH - BLACKHILL Substation,BLAH,57.52177,-2.951524,Yes
BLCW - BLACKCRAIG Substation,BLCW,55.129098,-4.057185,Yes
BLHI - BLACKHILLOCK Substation,BLHI,57.525091,-2.948363,Yes
BLLX - BLACKLAW EXTENSION Substation,BLLX,55.792632,-3.73789,Yes
BLYT - Blyth Substation,BLYT,55.1411626,-1.5306015,Yes
BOAG - BOAT OF GARTEN Substation,BOAG,57.254132,-3.731713,Yes
BODE - Bodelwyddan Substation,BODE,53.25014,-3.4761171,Yes
BOLN - Bolney Substation,BOLN,50.9752306,-0.2350781,Yes
BONN - BONNYBRIDGE Substation,BONN,56.007832,-3.860677,Yes
BOSO - BARROW ONSHORE Substation,BOSO,54.123869,-3.230005,Yes
BOTW - Botley Wood Substation,BOTW,50.8845066,-1.2320607,Yes
BPGR - BP GRANGEMOUTH Substation,BPGR,51.560406,-3.75458,Yes
BRAI - Braintree Substation,BRAI,51.8649112,0.576343,Yes
BRAP - BRAEHEAD PARK Substation,BRAP,55.881269,-4.381463,Yes
BRAW - Bradford West Substation,BRAW,53.8105001,-1.8653484,Yes
BRCW - BRACO WEST Substation,BRCW,56.261285,-3.947062,Yes
BREC - BRECHIN Substation,BREC,56.740051,-2.628735,Yes
BRED - Bredbury Substation,BRED,53.4145467,-2.1289257,Yes
BRFO - Bramford Substation,BRFO,52.0713149,1.0621494,Yes
BRIM - Brimsdown Substation,BRIM,51.6635045,-0.0249397,Yes
BRIN - Brinsworth Substation,BRIN,53.4014942,-1.3520318,Yes
BRLE - Bramley Substation,BRLE,51.336092,-1.0773424,Yes
BRNX - BRANXTON Substation,BRNX,55.948527,-2.416819,Yes
BROA - BROADFORD Substation,BROA,53.802946,-1.752569,Yes
BROC - BROKEN CROSS Substation,BROC,51.921883,-2.590319,Yes
BROR - BRORA Substation,BROR,58.020209,-3.875536,Yes
BROX - BROXBURN Substation,BROX,55.919644,-3.454493,Yes
BRWA - Bridgwater Substation,BRWA,51.117323,-2.9689897,Yes
BULL - Bulls Lodge,BULL,51.765916,0.537433,Yes
BUMU - BURGHMUIR Substation,BUMU,56.396931,-3.488546,Yes
BURW - Burwell Main Substation,BURW,52.2800743,0.3121167,Yes
BUSB - BUSBY Substation,BUSB,55.774545,-4.263804,Yes
BUSH - Bushbury Substation,BUSH,52.6362292,-2.1147683,Yes
BUST - Bustleholme Substation,BUST,52.5528971,-1.9640488,Yes
CAAD - CARRADALE Substation,CAAD,55.590296,-5.503449,Yes
CAFA - CARSFAD Substation,CAFA,55.143392,-4.189622,Yes
CAIN - CAIRNFORD Substation,CAIN,57.452452,-2.849738,Yes
CAMA - Cambridge Arms Substation,CAMA,51.474513,-2.610276,Yes
CAML - Camblesforth Substation,CAML,53.7294667,-1.0008175,Yes
CANT - Canterbury Substation,CANT,51.2923333,1.0941425,Yes
CAPE - Capenhurst Substation,CAPE,53.2687725,-2.9492216,Yes
CARE - Cardiff East Substation,CARE,51.4947919,-3.1454226,Yes
CARL - CARLISLE Substation,CARL,54.899248,-2.958369,Yes
CARR - Carrington Substation,CARR,53.4362675,-2.4071607,Yes
CASS - CASSLEY Substation,CASS,58.187379,-4.729653,Yes
CCSS - CUMBERHEAD COLLECTOR Substation,CCSS,55.582355,-3.925907,Yes
CEFC - Cefn Croes Substation,CEFC,52.412793,-3.755093,Yes
CELL - Cellarhead Substation,CELL,53.0408884,-2.0826093,Yes
CHAP - CHAPELCROSS Substation,CHAP,55.016718,-3.230973,Yes
CHAR - CHARLESTON Substation,CHAR,56.473239,-3.045498,Yes
CHAS - CHARLOTTE STREET Substation,CHAS,51.131238,-2.753458,Yes
CHIC - Chickerell Substation,CHIC,50.6246451,-2.4865271,Yes
CHIL - Chilling Substation,CHIL,50.821745,-1.32857,Yes
CHSI - Chessington Substation,CHSI,51.3441149,-0.3227094,Yes
CHTE - Chesterfield Substation,CHTE,53.2245523,-1.3888986,Yes
Unknown - from ETYS,CHUE,51.490805,0.3119,Yes
CILF - Cilfynydd Substation,CILF,51.6359308,-3.3002428,Yes
CITR - City Road Substation,CITR,51.5301876,-0.0957412,Yes
CLAY - CLAYHILLS Substation,CLAY,57.14037,-2.09921,Yes
CLEH - Cleve Hill Substation,CLEH,51.33821,0.9403402,Yes
CLTO - Clacton Substation,CLTO,51.824923,1.180027,Yes
CLUN - CLUNIE Substation,CLUN,56.717358,-3.783803,Yes
CLYM - CLYDE'S MILL Substation,CLYM,55.82234,-4.147249,Yes
COAL - COALBURN Substation,COAL,55.616293,-3.868363,Yes
COAT - COATBRIDGE Substation,COAT,55.851041,-4.012535,Yes
COCK - COCKENZIE Substation,COCK,55.96732,-2.967959,Yes
COGA - CORRIEGARTH WIND FARM Substation,COGA,57.19239,-4.401717,Yes
CONN - CONNAGILL Substation,CONN,58.513089,-3.880142,Yes
CONQ - Connahs Quay Substation,CONQ,53.2299029,-3.0739134,Yes
CORI - CORRIEMOILLIE Substation,CORI,57.633927,-4.770315,Yes
COSO - Coryton South Substation,COSO,51.512869,0.5067038,Yes
COTT - Cottam Substation,COTT,53.3007371,-0.7812314,Yes
COUA - COUPAR ANGUS Substation,COUA,56.538325,-3.274364,Yes
COVE - Coventry Substation,COVE,52.4564638,-1.4637597,Yes
COWL - Cowley Substation,COWL,51.7115242,-1.1905126,Yes
Unknown - from ETYS,COWT,51.4635,-3.4483,Yes
COYL - COYLTON Substation,COYL,55.447272,-4.433423,Yes
