Node Name,Relevant TO,Sheets,Voltage (Derived),Site Name,latitude,longitude,Full Name
ABBA1-,SHET,B-2-1a,132,ABERDEEN BAY WINDFARM,,,ABERDEEN BAY WINDFARM 132kV
ABED1-,SHET,B-2-2a,132,ABERARDER ONSHORE WIND FARM,,,ABERARDER ONSHORE WIND FARM 132kV
ABHA11,NGET,"B-3-1c, B-4-1c",132,ABHAM,50.4716733,-3.7309283,ABHAM 132kV
ABHA12,NGET,"B-3-1c, B-4-1c",132,ABHAM,50.4716733,-3.7309283,ABHAM 132kV
ABHA4A,NGET,"B-2-1c, B-3-1c",400,ABERTHAW,50.4716733,-3.7309283,ABERTHAW 400kV
ABHA4B,NGET,"B-2-1c, B-3-1c",400,ABERTHAW,50.4716733,-3.7309283,ABERTHAW 400kV
ABNE1Q,SHET,"B-2-1a, B-3-1a",132,ABERNETHY,56.34005,-3.296951,ABERNETHY 132kV
ABNE1R,SHET,"B-2-1a, B-3-1a",132,ABERNETHY,56.34005,-3.296951,ABERNETHY 132kV
ABNE3-,SHET,B-3-1a,33,ABERNETHY,56.34005,-3.296951,ABERNETHY 33kV
ABTH11,NGET,"B-3-1c, B-4-1c",132,ABERTHAW,51.3883366,-3.4032144,ABERTHAW 132kV
ABTH12,NGET,B-3-1c,132,ABERTHAW,51.3883366,-3.4032144,ABERTHAW 132kV
ABTH13,NGET,B-3-1c,132,ABERTHAW,51.3883366,-3.4032144,ABERTHAW 132kV
ABTH21,NGET,"B-2-1c, B-3-1c",275,ABERTHAW,51.3883366,-3.4032144,ABERTHAW 275kV
ACHE1-,SHET,"B-2-2a, B-3-2a",132,ACHANY EXTENSION,,,ACHANY EXTENSION 132kV
ACHE3-,SHET,B-3-2a,33,ACHANY EXTENSION,,,ACHANY EXTENSION 33kV
AIGA1Q,SHET,"B-2-1a, B-2-2a, B-3-1a, B-3-2a",132,AIGAS HYDRO,57.42868491,-4.57719052,AIGAS HYDRO 132kV
AIGA5-,SHET,"B-3-1a, B-3-2a",11,AIGAS HYDRO,57.42868491,-4.57719052,AIGAS HYDRO 11kV
AIGN1-,SHET,"B-2-2a, B-3-2a",132,AIGAS NORTH,57.42868491,-4.57719052,AIGAS NORTH 132kV
AIGN1A,SHET,B-2-2a,132,AIGAS NORTH,57.42868491,-4.57719052,AIGAS NORTH 132kV
AIGN5-,SHET,B-3-2a,11,AIGAS NORTH,57.42868491,-4.57719052,AIGAS NORTH 11kV
AIKE3A,SPT,B-3-1b,33,AIKENGALL,55.90854,-2.486718,AIKENGALL 33kV
AIKE3B,SPT,B-3-1b,33,AIKENGALL,55.90854,-2.486718,AIKENGALL 33kV
ALDW21,NGET,"B-2-1c, B-3-1c",275,ALDWARKE,53.4455045,-1.320594,ALDWARKE 275kV
ALDW31,NGET,B-3-1c,33,ALDWARKE,53.4455045,-1.320594,ALDWARKE 33kV
ALDW32,NGET,B-3-1c,33,ALDWARKE,53.4455045,-1.320594,ALDWARKE 33kV
ALNE1Q,SHET,"B-2-1a, B-3-1a",132,ALNESS GSP,57.708211,-4.275356,ALNESS GSP 132kV
ALNE1R,SHET,"B-2-1a, B-3-1a",132,ALNESS GSP,57.708211,-4.275356,ALNESS GSP 132kV
ALNE3J,SHET,B-3-1a,33,ALNESS GSP,57.708211,-4.275356,ALNESS GSP 33kV
ALST31,NGET,B-3-1c,33,ALPHA STEEL,51.547018,-2.978565,ALPHA STEEL 33kV
ALST32,NGET,B-3-1c,33,ALPHA STEEL,51.547018,-2.978565,ALPHA STEEL 33kV
ALVE11,NGET,"B-3-1c, B-3-2c, B-4-1c",132,ALVERDISCOTT,51.0059049,-4.1364787,ALVERDISCOTT 132kV
ALVE41,NGET,B-3-2c,400,ALVERDISCOTT,51.0059049,-4.1364787,ALVERDISCOTT 400kV
ALVE4A,NGET,"B-2-1c, B-2-2c, B-3-1c, B-3-2c",400,ALVERDISCOTT,51.0059049,-4.1364787,ALVERDISCOTT 400kV
ALVE4B,NGET,"B-2-1c, B-2-2c, B-3-1c, B-3-2c",400,ALVERDISCOTT,51.0059049,-4.1364787,ALVERDISCOTT 400kV
ALYT2A,SHET,"B-2-1a, B-2-2a, B-3-2a, B-4-1a, B-4-2a",275,ALYTH,56.609016,-3.165107,ALYTH 275kV
ALYT2B,SHET,"B-2-1a, B-2-2a, B-3-2a",275,ALYTH,56.609016,-3.165107,ALYTH 275kV
ALYT4J,SHET,"B-2-2a, B-3-2a, B-4-2a",400,ALYTH,56.609016,-3.165107,ALYTH 400kV
